z_nm,epsilon
7.989949748743718228e-09,1.377942335700041809e+01
8.040201005025124616e-09,1.369354458615267767e+01
8.090452261306532658e-09,1.361317450540448526e+01
8.140703517587939046e-09,1.353852196111011708e+01
8.190954773869347088e-09,1.346973043384824997e+01
8.241206030150753476e-09,1.340688666926436490e+01
8.291457286432159864e-09,1.335002989276184415e+01
8.341708542713567906e-09,nan
8.391959798994974293e-09,nan
8.442211055276382336e-09,nan
8.492462311557788723e-09,nan
8.542713567839195111e-09,nan
8.592964824120603153e-09,nan
8.643216080402009541e-09,nan
8.693467336683417583e-09,nan
8.743718592964823971e-09,nan
8.793969849246230359e-09,nan
8.844221105527638401e-09,nan
8.894472361809044789e-09,nan
8.944723618090452831e-09,nan
8.994974874371859219e-09,nan
9.045226130653265606e-09,nan
9.095477386934673649e-09,nan
9.145728643216080036e-09,nan
9.195979899497486424e-09,nan
9.246231155778894466e-09,nan
9.296482412060300854e-09,nan
9.346733668341708896e-09,nan
9.396984924623115284e-09,nan
9.447236180904521672e-09,nan
9.497487437185929714e-09,nan
9.547738693467336102e-09,nan
9.597989949748744144e-09,nan
9.648241206030150532e-09,nan
9.698492462311556919e-09,nan
9.748743718592964962e-09,nan
9.798994974874371349e-09,nan
9.849246231155779392e-09,nan
9.899497487437185779e-09,nan
9.949748743718592167e-09,nan
1.000000000000000021e-08,nan
