z_m,sigma_Ohm_cm_inv,N_cm3
2.8064727586013145e-09,2211.281998037821,6.410620409203775e+20
2.823066694135935e-09,2209.887995891149,6.356963917045377e+20
2.839660629670556e-09,2208.6272623981354,6.307853129842778e+20
2.8562545652051767e-09,2207.518960599486,6.264455089770525e+20
2.8728485007397973e-09,2206.5415215418734,6.226176668588789e+20
2.889442436274418e-09,2205.6620572327597,6.191852789276139e+20
2.9060363718090384e-09,2204.8492364035187,6.160318071190669e+20
2.922630307343659e-09,2204.072115634906,6.130407133690478e+20
2.93922424287828e-09,2203.2993473629053,6.100954596133655e+20
2.9558181784129005e-09,2202.4985334216585,6.070795077878296e+20
2.972412113947521e-09,2201.635524721605,6.038763198282501e+20
2.9890060494821417e-09,2200.673478870612,6.003693576704359e+20
3.0055999850167623e-09,2199.577145396873,5.964620510372282e+20
3.022193920551383e-09,2198.3374380716887,5.921656080516925e+20
3.0387878560860034e-09,2196.9532290074385,5.875274373764382e+20
3.0553817916206244e-09,2195.421890156216,5.8259497445152896e+20
3.071975727155245e-09,2193.7398421806756,5.774156547170283e+20
3.0885696626898656e-09,2191.9032849623613,5.720369136129995e+20
3.105163598224486e-09,2189.9090763560066,5.6650618657950623e+20
3.1217575337591067e-09,2187.755723218012,5.608709090566118e+20
3.1383514692937273e-09,2185.4444406577973,5.551785164843795e+20
3.1549454048283483e-09,2182.9802293029966,5.4947644430287274e+20
3.171539340362969e-09,2180.372916133659,5.4381212795215544e+20
3.1881332758975894e-09,2177.6368274017564,5.382304821293304e+20
3.20472721143221e-09,2174.774928037412,5.3274366984987745e+20
3.2213211469668306e-09,2171.779597910612,5.273409624373198e+20
3.237915082501451e-09,2168.642359773415,5.220111621222735e+20
3.2545090180360717e-09,2165.353913622365,5.1674307113535465e+20
3.2711029535706927e-09,2161.903957549822,5.115254917071794e+20
3.2876968891053133e-09,2158.281014554386,5.0634722606836364e+20
3.304290824639934e-09,2154.472262091785,5.011970764495239e+20
3.3208847601745545e-09,2150.463461961682,4.960638450812759e+20
3.337478695709175e-09,2146.2432230031955,4.9093633419423574e+20
3.3540726312437956e-09,2141.8045998152775,4.8580334601901985e+20
3.3706665667784166e-09,2137.13926017264,4.806536827862439e+20
3.387260502313037e-09,2132.237070977473,4.754761467265243e+20
3.4038544378476578e-09,2127.086144196616,4.702595451246018e+20
3.4204483733822783e-09,2121.67718517233,4.649968075569447e+20
3.437042308916899e-09,2116.0124456481085,4.596924309328445e+20
3.4536362444515195e-09,2110.0972709741313,4.543529259422779e+20
3.47023017998614e-09,2103.93813691517,4.48984803275222e+20
3.486824115520761e-09,2097.5426294288873,4.4359457362165354e+20
3.5034180510553816e-09,2090.9194201174546,4.381887476715498e+20
3.5200119865900022e-09,2084.0782376637703,4.3277383611488744e+20
3.5366059221246228e-09,2077.029835568825,4.273563496416434e+20
3.5531998576592434e-09,2069.7859565105123,4.219427989417946e+20
3.569793793193864e-09,2062.3592936463265,4.165396947053181e+20
3.586387728728485e-09,2054.7634491830254,4.111535476221904e+20
3.6029816642631055e-09,2047.0128905353843,4.05790868382389e+20
3.619575599797726e-09,2039.1229043936696,4.004581676758903e+20
